unit_ID,cycles,time_to_deterioration,setting_1-mean,setting_2-mean,setting_3-mean,T2-mean,T24-mean,T30-mean,T50-mean,P2-mean,P15-mean,P30-mean,Nf-mean,Nc-mean,epr-mean,Ps30-mean,phi-mean,NRf-mean,NRc-mean,BPR-mean,farB-mean,htBleed-mean,Nf_dmd-mean,PCNfR_dmd-mean,W31-mean,W32-mean,setting_1-sd,setting_2-sd,setting_3-sd,T2-sd,T24-sd,T30-sd,T50-sd,P2-sd,P15-sd,P30-sd,Nf-sd,Nc-sd,epr-sd,Ps30-sd,phi-sd,NRf-sd,NRc-sd,BPR-sd,farB-sd,htBleed-sd,Nf_dmd-sd,PCNfR_dmd-sd,W31-sd,W32-sd
1,120,29,25.883372,0.628304,95.2,470.9576,578.3988,1418.888,1202.9252,7.7296,11.1848,271.7876,2233.694,8496.4636,1.076,43.0736,255.9712,2344.7096,8047.394399999999,9.36334,0.0236,347.8,2233.84,98.1916,19.9772,12.024484,14.66964723557682,0.3083917550238116,13.2664991614216,27.773916162471576,38.09465079684198,104.26880805558936,117.33232707144263,3.708723365256568,5.546368271220367,147.33600805302146,137.17200789519703,329.1527787983365,0.116868872388388,3.070503324646737,138.7679360875559,119.37467568821565,73.80565019472878,0.6830845488175922,0.0048989794855663,27.40589960817439,137.1588738167045,4.998153559065585,9.900592793700117,5.943907635672009
1,124,25,23.723044000000005,0.599132,95.2,474.5672,582.9664,1430.5744,1216.2684,8.211599999999999,11.8944,289.7644,2242.4944,8530.644400000001,1.088,43.344800000000006,272.904,2344.7664,8047.8436,9.334776,0.0244,350.92,2242.6,98.1916,21.2612,12.782176000000002,14.164125165068732,0.3107846423704577,13.2664991614216,27.0622205174175,37.7457557084237,105.03890239969827,117.7497291461853,3.568007940947815,5.36386527297868,143.75867278417212,139.06635781405458,330.1886863103177,0.12107160415776,3.132830349699773,135.32841608472333,119.3960745404415,74.36927013670814,0.6941857882200317,0.0050662280511902,27.372309609043462,139.04585574550578,4.998153559065584,9.662808563421576,5.776875621914209
1,125,24,25.003032,0.6227799999999999,95.2,472.8052,580.7724000000001,1424.8056,1209.4468,7.947199999999999,11.502799999999995,279.5312,2238.1972,8512.4844,1.0783999999999998,43.2148,263.258,2344.742,8045.9288,9.364864,0.024,349.4,2238.32,98.1916,20.546000000000003,12.347912,14.31785014043426,0.3055766270512193,13.2664991614216,27.5102877908126,38.00668606530524,104.95935181773945,117.05839300394769,3.634119012910832,5.4463975249700605,145.14325082827654,138.25999272264795,329.3238654688321,0.116285568035476,3.101761757453336,136.62937986270254,119.38687986262698,73.06432521643742,0.6800401114885308,0.0049999999999999,27.38156314018613,138.2406476643779,4.998153559065584,9.763561508657244,5.845288424472026
2,153,116,28.482604,0.7077839999999999,95.2,467.1748,573.5012,1403.4784,1177.53,7.1064,10.2492,246.6988,2225.004,8476.1156,1.0484,42.5164,232.182,2344.992,8061.8904,9.43522,0.0208,343.44,2224.88,98.1916,18.3328,11.023039999999998,12.173731153782176,0.2283160048412434,13.2664991614216,24.628114544154613,33.67651163645072,89.53511339506233,96.57881375677933,3.0820189270454947,4.576686319452826,120.1923348332441,130.74842895805668,288.992451070381,0.0860561831983424,2.7159557556533698,113.38974431872866,119.32765287923274,70.93735337605986,0.6059234763290383,0.0027688746209726,23.734784599823104,130.87631565718834,4.998153559065584,8.172546787874634,4.884392021872665
2,173,96,24.882896,0.6150559999999999,92.0,472.4908,577.3711999999999,1409.726,1193.0236,7.846,11.249199999999998,269.83360000000005,2210.6392,8497.8632,1.0708,42.55879999999999,254.0936,2316.2272,8056.0052,9.47628,0.0224,345.56,2210.48,96.986,19.9548,11.987224,13.706938571835313,0.2815815972324896,16.32993161855452,25.550199757862288,37.5689844730109,107.5993233404994,116.55776964950329,3.4061733171796567,5.134516303087047,138.83587549333205,162.1644887894182,344.5643908584672,0.1187406136641265,3.435224786434409,130.74678768775416,146.87916968606083,91.62406930495932,0.7923725928080383,0.0043588989435406,28.23868504965012,162.33199520324592,6.152301737290414,9.339383509275832,5.622226468096662
2,192,77,26.163152,0.6200960000000001,95.2,469.5096000000001,576.5448,1414.2224,1198.2548,7.549599999999999,10.9224,265.884,2230.586,8510.7832,1.082,42.9992,250.392,2345.0416,8075.1028000000015,9.343348,0.0224,346.76,2230.44,98.1916,19.636,11.768344,14.63331353166238,0.3008098063007033,13.2664991614216,26.331689634355023,36.09299229305693,100.76579740831376,113.73339952567436,3.5607764602681806,5.3168022030790905,141.273480319792,134.3666618808401,319.2256180942668,0.1197914855071094,2.9931336978714023,133.1838603835565,119.3287568959525,77.4911502216006,0.6818416489674611,0.0043588989435406,26.423285185608545,134.50250307460203,4.998153559065585,9.583844044362714,5.75667871541974
4,102,133,27.122919999999997,0.6300199999999999,95.2,467.9695999999999,574.4008,1405.9199999999996,1189.5387999999998,7.26,10.4928,255.3292,2226.8412,8489.0808,1.0808,42.7152,240.3516,2344.9252,8069.538,9.331408,0.0224,344.96,2226.8,98.1916,18.9136,11.336263999999998,14.489150886784223,0.2828506953028988,13.2664991614216,24.95182416177222,34.300728966986505,96.67729770564888,107.0994206068984,3.409313225074321,5.073291600792001,134.30427046821706,131.7569316747067,303.4842661341769,0.1169729313416855,2.9014667555106213,126.67875751548348,119.33387560817204,77.93053600269053,0.6723562881885368,0.0043588989435406,24.949081479418567,131.8834712918946,4.998153559065584,9.187844723691551,5.509852115444358
4,108,127,24.24344,0.550568,95.2,471.93,579.3524000000001,1420.6836,1208.5692,7.946000000000001,11.519999999999998,283.0048,2236.2552,8535.3076,1.108,43.108,266.492,2344.9268,8077.974399999999,9.24238,0.0236,348.72,2236.2,98.1916,20.7788,12.451664,16.166317980887506,0.3318923592070175,13.2664991614216,27.786082697398463,38.20474079221059,109.1991016782342,122.61182049188136,3.906219399880144,5.847784480752803,156.03450550866413,137.8105165955535,339.8385138719075,0.1345362404707371,3.192228845180119,147.25183267110802,119.33573510339085,80.95401395648425,0.7235854136405274,0.0048989794855663,28.116602450035337,137.92902764344666,4.998153559065586,10.597013856113742,6.366038702945497
4,114,121,26.923044,0.607776,95.2,467.3988000000001,573.6576,1406.4435999999998,1190.2756000000002,7.316,10.5848,258.372,2225.3896000000004,8489.0804,1.0872000000000002,42.768,243.3012,2344.9368,8074.001999999999,9.307408,0.0228,344.92,2225.32,98.1916,19.1056,11.440388,15.456307457099836,0.3121635726132482,13.2664991614216,26.433566148617423,35.95460961174984,102.0712964419152,114.26524344261468,3.6939443688285296,5.505227152443394,146.08926577610006,132.85696301160382,318.28281090983626,0.1256821387469198,2.996393665725516,137.87215788306693,119.31814907073722,78.25413913440401,0.6948220677027079,0.0045825756949558,26.485719422612124,132.99239326618144,4.998153559065585,9.953481417741902,5.965953143345998
4,124,111,27.362836,0.639416,95.2,467.44,573.872,1405.7720000000002,1184.7724,7.357200000000001,10.64,258.87080000000003,2225.4208,8484.61,1.072,42.698,243.6036,2344.9616,8068.3956,9.341652,0.022,344.36,2225.32,98.1916,19.1552,11.47272,14.97736368693547,0.3135894432215472,13.2664991614216,27.78049105637502,37.48333085074841,103.9021670049924,117.08156548890749,3.769630309017937,5.622312691410894,149.0851064526568,134.3517065677495,326.7422258702824,0.1178982612255159,3.0430385034260303,140.51741178824307,119.32749720412303,76.18607134728323,0.6810204280587574,0.0040824829046386,27.155232767676047,134.47791640265697,4.998153559065584,10.10361450175134,6.065353707740383
